"PPID","Intervention","Recitation","CompletedPreQ","CompletedPostQ","TookSpringClass"
4,"Control","M",1,1,1
10,"Control","M",1,0,0
14,"Control","D",1,1,1
15,"Control","D",1,1,1
18,"VAffirm","L",1,1,1
19,"VAffirm","H",0,0,1
20,"VAffirm","N",1,0,1
23,"VAffirm","A",1,1,0
24,"VAffirm","L",1,1,1
26,NA,"L",1,1,0
28,NA,"L",1,1,1
29,"VAffirm","B",1,1,1
30,"Control","K",1,0,1
33,NA,"L",1,1,0
36,"Control","P",1,1,1
38,"Control","L",1,1,0
40,"Control","E",1,1,1
41,"Control","P",1,1,1
42,"VAffirm","H",1,1,1
44,"Control","H",1,1,0
47,"VAffirm","I",1,1,1
49,"Control","J",1,1,1
50,NA,"L",1,0,1
55,"Control","D",1,1,1
56,"Control","L",1,0,0
57,"Control","G",1,0,1
58,"Control","J",1,1,0
62,"VAffirm","O",1,1,1
63,"Control","D",1,1,1
64,"Control","E",1,1,1
67,"VAffirm","E",1,1,1
69,"Control","K",1,0,1
71,"VAffirm","A",1,1,0
74,"VAffirm","L",1,0,0
75,NA,"L",1,0,1
77,"VAffirm","L",1,1,1
78,"Control","H",1,1,1
79,"Control","B",1,1,1
80,NA,"N",1,1,0
81,NA,"L",1,1,1
83,"VAffirm","B",1,1,1
84,"VAffirm","K",1,1,0
85,NA,"L",1,0,0
88,"VAffirm","J",1,1,1
90,"VAffirm","L",1,0,1
92,NA,"L",1,1,1
93,"Control","G",1,1,0
94,"VAffirm","L",1,1,1
95,NA,"L",1,1,0
98,"VAffirm","J",1,1,1
99,"VAffirm","C",1,1,0
102,"VAffirm","C",1,1,1
103,"VAffirm","M",1,1,1
105,"VAffirm","I",1,1,0
107,"VAffirm","F",1,0,0
108,"VAffirm","E",1,1,1
109,"VAffirm","H",1,1,1
111,"Control","L",1,1,1
113,"Control","L",1,1,1
115,"Control","N",1,1,1
116,"VAffirm","D",1,1,1
118,"VAffirm","I",1,1,0
120,"VAffirm","E",1,1,1
122,"VAffirm","O",1,1,1
123,"VAffirm","K",1,1,1
128,"VAffirm","G",1,1,1
129,"Control","L",1,0,1
133,"Control","O",1,1,1
134,"VAffirm","M",1,1,1
135,"Control","J",1,1,1
136,"Control","O",1,1,0
140,"Control","L",1,1,1
144,"Control","L",1,1,1
145,"Control","M",1,1,1
146,"Control","M",1,1,1
147,"Control","L",1,1,0
148,"Control","E",1,1,0
149,"Control","P",1,1,1
151,"Control","L",1,1,1
154,"VAffirm","L",1,1,1
155,"Control","G",1,1,1
157,"VAffirm","C",1,1,1
165,"Control","D",1,1,0
166,"VAffirm","P",1,0,1
168,"VAffirm","L",1,1,1
169,NA,"L",1,1,1
170,"VAffirm","J",1,1,1
173,NA,"L",1,1,1
174,"Control","C",1,1,1
177,"VAffirm","O",1,0,1
179,"VAffirm","I",1,1,1
180,"Control","P",1,1,1
181,"VAffirm","L",1,1,1
184,"VAffirm","I",1,1,1
185,"Control","L",1,1,1
186,"VAffirm","A",1,1,1
189,"VAffirm","N",1,0,1
191,"Control","F",1,1,1
192,"VAffirm","P",1,1,0
194,"VAffirm","F",1,0,1
195,"Control","K",1,0,1
196,"Control","F",1,1,1
197,"VAffirm","O",1,1,1
198,"Control","J",1,1,0
199,"VAffirm","L",1,0,1
202,"VAffirm","G",1,1,1
203,"Control","G",1,1,1
205,"Control","F",1,1,1
206,"Control","L",1,1,1
207,"Control","N",1,0,1
208,"VAffirm","K",1,0,1
209,"VAffirm","M",1,1,1
210,NA,"L",1,0,0
213,"Control","E",1,0,0
214,"Control","G",1,1,1
215,"Control","K",1,1,0
217,"VAffirm","O",1,1,1
218,"Control","N",1,1,0
219,"VAffirm","L",1,1,1
220,"Control","K",1,1,1
222,"Control","D",1,1,1
223,"VAffirm","D",1,1,1
225,"Control","O",1,1,1
227,"VAffirm","O",1,1,0
228,"VAffirm","L",1,1,1
229,NA,"L",1,1,0
231,"VAffirm","I",1,1,1
233,"Control","L",1,0,1
234,"Control","E",1,1,1
235,NA,"L",1,1,0
237,"Control","C",1,1,1
239,"VAffirm","M",1,0,0
241,"Control","L",1,0,0
242,NA,"D",1,1,0
243,"VAffirm","L",1,0,1
246,"VAffirm","O",1,1,0
247,"Control","P",1,1,0
249,"VAffirm","L",1,0,1
250,"VAffirm","F",1,1,1
251,"VAffirm","H",1,1,1
252,"VAffirm","M",1,1,1
253,"Control","D",1,0,0
255,"VAffirm","J",1,1,1
256,"Control","L",1,1,1
257,"Control","L",1,0,1
260,"Control","F",1,1,0
261,"Control","C",1,0,1
262,NA,"L",1,0,1
263,"Control","K",1,1,1
264,"VAffirm","G",1,1,1
266,NA,"A",0,0,0
268,"Control","B",1,0,1
271,"Control","I",1,1,1
274,NA,"F",1,1,1
275,"Control","E",1,1,1
276,"VAffirm","G",1,1,1
278,"VAffirm","G",1,1,1
280,"VAffirm","M",1,1,1
281,"Control","H",1,1,1
283,"Control","L",1,1,1
284,"VAffirm","O",1,1,1
285,"VAffirm","I",1,1,1
286,"VAffirm","K",1,1,1
288,"VAffirm","C",1,1,1
289,"Control","O",1,1,1
290,"Control","L",1,1,1
291,"VAffirm","C",1,1,1
292,"Control","J",1,1,1
293,NA,"L",1,0,0
294,"Control","M",1,1,1
299,"Control","I",1,1,1
300,"Control","E",1,0,1
301,"VAffirm","G",1,1,0
303,"VAffirm","M",1,1,1
304,NA,"L",1,1,1
306,NA,"D",1,1,1
307,"Control","N",1,1,1
308,"Control","C",1,1,1
309,"Control","C",1,1,0
310,"Control","F",1,0,1
311,"VAffirm","K",1,0,1
313,"Control","P",1,1,0
314,NA,"L",1,0,1
315,"Control","P",1,1,0
317,"VAffirm","L",1,1,1
318,"VAffirm","L",1,0,0
320,"VAffirm","K",1,1,1
322,"Control","L",1,0,0
324,"VAffirm","L",1,1,0
326,NA,"L",1,1,1
327,"Control","G",1,1,1
328,NA,"L",1,1,1
329,"Control","A",0,1,0
330,"VAffirm","B",1,1,1
331,"VAffirm","B",1,1,1
333,"VAffirm","F",1,1,1
