PPID,AttentionCheck1.T1,AttentionCheck2.T1,Grit.T1,TOI.T1,AttentionCheck1.T2,AttentionCheck2.T2,Grit.T2,TOI.T2
10,5,1,3.625,2,NA,NA,NA,NA
102,5,1,3.625,5,5,1,2.875,5
103,5,1,3.625,2,5,1,3.625,3
105,5,1,3.625,1,5,1,3.75,1
107,5,1,2.25,4,NA,NA,NA,NA
108,5,1,4.25,3.666666667,5,3,3.25,4
109,5,1,3.25,3.666666667,5,1,3.625,4
111,5,1,2.75,3.333333333,5,1,3.875,5
113,5,1,3,4,5,1,3.375,4
115,5,1,4,2,5,1,4.125,3.666666667
116,5,1,3.875,2.666666667,5,1,3.125,3
118,5,1,4.125,2,5,1,3.375,2.333333333
120,5,1,3.125,3.333333333,5,1,3.5,4
122,5,1,3.875,1,5,1,3.75,2
123,5,1,3.25,3.666666667,5,1,2.875,4
128,5,5,3.75,6,5,1,4.375,4.333333333
129,5,1,2.25,1.666666667,NA,NA,NA,NA
133,5,1,3,3,5,1,3.125,1
134,5,1,4.25,3.333333333,5,1,3.75,3.333333333
135,5,1,2.875,3.333333333,5,1,2.75,3.333333333
136,5,1,3.75,3,5,1,2.875,3.666666667
14,5,1,4.5,3.333333333,5,1,4.125,2
140,5,1,3.625,2,5,1,3.5,2
144,5,1,3.625,2.333333333,5,1,4,2
145,5,1,2.875,1,5,1,3.125,1
146,3,3,3,5,5,1,3,5
147,5,1,3.875,4,5,1,3.875,4
148,5,1,2,2,5,1,1.375,2
149,5,1,4,1.666666667,5,1,3.875,2
15,5,1,3.25,4.333333333,5,1,3.125,1
151,5,1,4,1,5,1,4.25,1
154,5,1,3.5,1,5,1,3.75,1
155,5,1,3.125,2,5,1,3,4
157,5,1,2.875,4.333333333,5,1,2.25,3
165,5,1,2.625,2,5,1,3,2
166,5,1,2.75,2,NA,NA,NA,NA
168,5,1,4.25,3,5,1,3.625,4
169,5,1,4.25,4,4,1,4.25,4
170,5,1,4.125,2.666666667,5,1,4.25,2.666666667
173,5,5,3.25,2,5,1,4,1
174,5,1,4.25,3.666666667,5,1,4.375,3
177,5,1,2.75,5,NA,NA,NA,NA
179,5,1,4.25,1,5,1,3,6
18,5,1,2.875,4,5,1,3,1.333333333
180,5,1,3.75,3,5,1,3.5,3
181,5,1,3.375,3.333333333,5,1,3.125,4
184,5,1,2.75,3,5,1,2.75,3
185,5,1,4,1.666666667,5,1,4,1
186,5,1,4.25,3,5,1,4.375,4
189,5,1,2.375,3.333333333,NA,NA,NA,NA
19,NA,NA,NA,NA,NA,NA,NA,NA
191,5,1,3.625,2,4,1,3.125,1
192,5,1,4,2.666666667,5,1,3.75,4
194,5,1,3,4,NA,NA,NA,NA
195,5,5,3.75,2,NA,NA,NA,NA
196,5,5,4,2.333333333,5,1,3,6
197,5,1,3.625,2,5,1,3,3
198,5,1,2,6,5,1,2.125,5
199,5,1,3,2,NA,NA,NA,NA
20,5,1,3.5,6,NA,NA,NA,NA
202,5,1,3.125,2.333333333,5,1,3.25,4
203,5,1,4.125,3.333333333,5,1,3.875,3.333333333
205,5,1,2.875,1,5,1,2.875,1
206,5,1,3.75,4,5,1,4,3
207,5,1,2.875,2,NA,NA,NA,NA
208,5,1,2.25,2.333333333,NA,NA,NA,NA
209,5,1,3.25,3.666666667,5,1,3.25,2
210,5,1,3,4.333333333,NA,NA,NA,NA
213,5,5,3.625,2.666666667,NA,NA,NA,NA
214,5,1,4,5,5,1,3.875,3.666666667
215,4,1,3.5,4,5,1,2.625,4
217,5,1,4.125,2.333333333,5,1,3.75,2
218,5,1,2.625,2.666666667,5,1,3.125,3
219,5,1,4.375,4,5,1,4.125,2
220,4,1,4.125,2,5,1,3.375,2
222,5,1,2.75,5.666666667,5,1,3.125,4
223,5,1,3.875,5,5,1,4.125,4
225,5,1,3.625,6,5,1,3.625,6
227,5,1,2.375,6,5,1,2.875,5
228,5,1,3.75,3,5,1,3.625,1
229,5,1,4.125,2,5,1,3.875,1.666666667
23,5,5,4.25,4,5,5,4.5,2.333333333
