PPID,Friend1Name,Friend2Name,Friend3Name,Friend4Name,Friend5Name,Friend6Name,Friend1Strength,Friend2Strength,Friend3Strength,Friend4Strength,Friend5Strength,Friend6Strength,Study1Name,Study2Name,Study3Name,Study4Name,Study5Name,Study6Name,Study1Strength,Study2Strength,Study3Strength,Study4Strength,Study5Strength,Study6Strength,Support1Name,Support2Name,Support3Name,Support4Name,Support5Name,Support6Name,Support1Strength,Support2Strength,Support3Strength,Support4Strength,Support5Strength,Support6Strength
4,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
14,281,,,,,,5,NA,NA,NA,NA,NA,281,,,,,,1,NA,NA,NA,NA,NA,283,,,,,,3,NA,NA,NA,NA,NA
15,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
18,96,281,94,546,385,340,4,2,3,4,4,3,96,281,94,546,385,340,3,3,3,3,3,2,546,96,,,,,3,2,NA,NA,NA,NA
23,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
24,259,375,168,151,427,344,NA,NA,NA,NA,NA,NA,151,259,344,,,,NA,NA,NA,NA,NA,NA,375,344,,,,,NA,NA,NA,NA,NA,NA
26,361,126,440,147,334,233,2,2,2,3,2,2,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
28,546,,,,,,2,NA,NA,NA,NA,NA,546,201,,,,,2,3,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
29,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
33,168,,,,,,3,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,NA,NA
36,247,516,,,,,3,3,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
38,199,,,,,,1,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,199,,,,,,1,NA,NA,NA,NA,NA
40,433,451,,,,,4,3,NA,NA,NA,NA,433,,,,,,2,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
41,184,186,504,6,,,4,3,2,2,NA,NA,184,186,,,,,2,2,NA,NA,NA,NA,184,,,,,,1,NA,NA,NA,NA,NA
42,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
44,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
47,223,486,391,234,428,409,5,1,2,3,3,4,223,,,,,,1,NA,NA,NA,NA,NA,223,,,,,,1,NA,NA,NA,NA,NA
49,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
55,149,209,108,,,,5,3,2,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,149,,,,,,2,NA,NA,NA,NA,NA
56,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
58,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
62,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
63,282,25,,,,,3,1,NA,NA,NA,NA,282,,,,,,2,NA,NA,NA,NA,NA,282,,,,,,2,NA,NA,NA,NA,NA
64,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
67,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
71,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
77,505,281,181,75,140,452,4,3,3,3,2,2,505,281,181,425,,,3,2,2,1,NA,NA,505,283,,,,,3,3,NA,NA,NA,NA
78,252,271,134,259,459,98,3,2,2,2,2,2,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
79,402,309,397,,,,5,4,4,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
80,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
81,518,258,,,,,3,3,NA,NA,NA,NA,518,258,,,,,3,3,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
83,379,,,,,,2,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
84,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
88,244,516,506,345,231,170,4,3,3,3,2,3,506,516,,,,,1,1,NA,NA,NA,NA,244,345,,,,,2,2,NA,NA,NA,NA
92,475,390,144,,,,3,3,3,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,144,475,,,,,3,3,NA,NA,NA,NA
93,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
94,546,18,385,283,178,96,4,3,3,3,2,2,546,18,385,283,178,96,3,3,3,2,1,1,546,18,178,385,96,283,3,2,2,2,1,1
95,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
98,308,196,222,88,78,110,5,5,5,4,3,3,88,308,222,196,,,1,1,1,1,NA,NA,222,88,308,196,,,3,3,3,3,NA,NA
99,179,435,21,264,,,3,2,4,2,NA,NA,21,,,,,,1,NA,NA,NA,NA,NA,21,,,,,,2,NA,NA,NA,NA,NA
102,398,450,294,526,,,5,3,2,2,NA,NA,398,,,,,,1,NA,NA,NA,NA,NA,398,450,,,,,4,2,NA,NA,NA,NA
103,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
105,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
108,352,209,,,,,5,5,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
109,162,,,,,,1,NA,NA,NA,NA,NA,162,,,,,,2,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
111,298,153,490,,,,4,2,3,NA,NA,NA,298,,,,,,2,NA,NA,NA,NA,NA,298,,,,,,2,NA,NA,NA,NA,NA
